CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
FELONY ASSAULT,03/12/2020 12:28:00 PM,20-014053,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.7669, -122.175421)"
DISORDERLY CONDUCT,03/01/2020 04:05:00 PM,20-011869,FIGHT/CHALLENGE IN PUBLIC PLACE,77X,6300 BAKER ST,Oakland,CA,"6300 BAKER ST
Oakland, CA
(37.846761, -122.279394)"
DOMESTIC VIOLENCE,03/06/2020 12:46:00 PM,20-012869,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,02X,1300 7TH ST,Oakland,CA,"1300 7TH ST
Oakland, CA
(37.804641, -122.291652)"
BURG - COMMERCIAL,02/19/2020 05:25:00 AM,20-009728,BURGLARY-FORCIBLE ENTRY,15X,2100 PARK BLVD,Oakland,CA,"2100 PARK BLVD
Oakland, CA
(37.800613, -122.247847)"
BURG - AUTO,02/15/2020 10:00:00 PM,20-904987,BURGLARY-AUTO,04X,BROADWAY & 21ST ST,Oakland,CA,"BROADWAY & 21ST ST
Oakland, CA
(37.810023, -122.267532)"
STOLEN VEHICLE,02/17/2020 08:30:00 AM,20-009714,VEHICLE THEFT - AUTO,12X,4100 BROADWAY,Oakland,CA,"4100 BROADWAY
Oakland, CA
(37.828685, -122.255905)"
PETTY THEFT,02/19/2020 10:31:00 AM,20-009723,THEFT,01X,400 OAK ST,Oakland,CA,"400 OAK ST
Oakland, CA
(37.793988, -122.267298)"
MISDEMEANOR ASSAULT,02/18/2020 01:45:00 PM,20-009725,EXHIBIT FIREARM,12X,4500 WEBSTER ST,Oakland,CA,"4500 WEBSTER ST
Oakland, CA
(37.833335, -122.260093)"
MISDEMEANOR ASSAULT,02/17/2020 01:09:00 AM,20-009716,BATTERY,04X,1700 TELEGRAPH AV,Oakland,CA,"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
GRAND THEFT,02/19/2020 10:00:00 AM,20-009724,SC GRAND THEFT,20X,1000 CALCOT PL,Oakland,CA,"1000 CALCOT PL
Oakland, CA
(37.780108, -122.237806)"
BURG - AUTO,02/18/2020 07:35:00 AM,20-904986,BURGLARY-AUTO,01X,00 MARTIN LUTHER KING JR W,Oakland,CA,"00 MARTIN LUTHER KING JR W
Oakland, CA"
BURG - AUTO,02/01/2020 04:00:00 PM,20-006309,BURGLARY-AUTO,26X,4900 SAN LEANDRO ST,Oakland,CA,"4900 SAN LEANDRO ST
Oakland, CA
(37.767078, -122.212906)"
THREATS,02/18/2020 10:30:00 PM,20-009643,EXHIBIT FIREARM,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.7669, -122.175421)"
VANDALISM,03/02/2020 10:17:00 AM,20-012033,VANDALISM-$400,21Y,3100 PLEITNER AV,Oakland,CA,"3100 PLEITNER AV
Oakland, CA
(37.793346, -122.211878)"
BURG - RESIDENTIAL,02/18/2020 08:03:00 PM,20-009628,BURGLARY-FORCIBLE ENTRY,27X,2200 COURTLAND AV,Oakland,CA,"2200 COURTLAND AV
Oakland, CA
(37.777296, -122.20776)"
STOLEN VEHICLE,03/29/2020 11:44:00 AM,20-016704,VEHICLE THEFT - AUTO,32Y,2800 99TH AV,Oakland,CA,"2800 99TH AV
Oakland, CA
(37.748774, -122.152007)"
ROBBERY,05/19/2020 06:40:00 PM,20-024924,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,19X,1100 E 12TH ST,Oakland,CA,"1100 E 12TH ST
Oakland, CA
(37.790456, -122.249576)"
RECOVERED O/S STOLEN,05/15/2020 02:30:00 PM,20-024246,VEHICLE THEFT - AUTO,20X,24TH AV & INTERNATIONAL BLVD,Oakland,CA,"24TH AV & INTERNATIONAL BLVD
Oakland, CA
(37.782511, -122.234441)"
PETTY THEFT,02/28/2020 05:00:00 PM,20-012224,THEFT,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
BURG - AUTO,02/17/2020 07:30:00 PM,20-904991,BURGLARY-AUTO,01X,600 3RD ST,Oakland,CA,"600 3RD ST
Oakland, CA
(37.798172, -122.279478)"
HOMICIDE,02/18/2020 11:40:00 AM,20-009553,SC UNEXPLAINED DEATH,04X,1500 JACKSON ST,Oakland,CA,"1500 JACKSON ST
Oakland, CA
(37.802902, -122.264655)"
VANDALISM,03/02/2020 09:04:00 AM,20-012009,VANDALISM-$400,02Y,800 WILLOW ST,Oakland,CA,"800 WILLOW ST
Oakland, CA
(37.80782, -122.300368)"
DOMESTIC VIOLENCE,03/08/2020 04:10:00 AM,20-013154,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,04X,500 18TH ST,Oakland,CA,"500 18TH ST
Oakland, CA
(37.807631, -122.270257)"
BURG - AUTO,02/18/2020 01:15:00 PM,20-904988,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA,"200 HEGENBERGER RD
Oakland, CA
(37.731083, -122.199289)"
DOMESTIC VIOLENCE,03/08/2020 04:10:00 AM,20-013154,ASSAULT WITH FIREARM ON PERSON,04X,500 18TH ST,Oakland,CA,"500 18TH ST
Oakland, CA
(37.807631, -122.270257)"
FELONY ASSAULT,02/18/2020 06:50:00 PM,20-009614,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,E 12TH ST & FRUITVALE AV,Oakland,CA,"E 12TH ST & FRUITVALE AV
Oakland, CA
(37.776377, -122.226468)"
BURG - AUTO,02/17/2020 05:00:00 AM,20-904992,BURGLARY-AUTO,04X,1800 FRANKLIN ST,Oakland,CA,"1800 FRANKLIN ST
Oakland, CA
(37.806744, -122.268148)"
BURG - AUTO,03/12/2020 12:56:00 PM,20-013994,VIOLATION OF PROBATION-FELONY,99X,2100 ADAMS AV,Oakland,CA,"2100 ADAMS AV
Oakland, CA"
BURG - AUTO,11/24/2019 02:20:00 AM,19-061510,BURGLARY-AUTO,26Y,73RD AV & HEGENBERGER RD,Oakland,CA,"73RD AV & HEGENBERGER RD
Oakland, CA
(37.759253, -122.187048)"
FELONY ASSAULT,02/18/2020 06:50:00 PM,20-009614,VANDALISM (AMENDED),23X,E 12TH ST & FRUITVALE AV,Oakland,CA,"E 12TH ST & FRUITVALE AV
Oakland, CA
(37.776377, -122.226468)"
RECOVERED O/S STOLEN,02/18/2020 08:07:00 AM,20-009675,VEHICLE THEFT - AUTO,31Z,9800 BERNHARDT DR,Oakland,CA,"9800 BERNHARDT DR
Oakland, CA
(37.731954, -122.186752)"
RECOVERED O/S STOLEN,02/18/2020 12:45:00 PM,20-009549,VEHICLE THEFT - AUTO,32Y,9900 BIRCH ST,Oakland,CA,"9900 BIRCH ST
Oakland, CA
(37.744879, -122.163597)"
BURG - AUTO,02/17/2020 06:20:00 PM,20-904995,BURGLARY-AUTO,04X,1400 CLAY ST,Oakland,CA,"1400 CLAY ST
Oakland, CA
(37.805597, -122.273393)"
STOLEN VEHICLE,01/12/2020 09:00:00 PM,20-002280,VEHICLE THEFT - AUTO,04X,00 LAKESIDE DR,Oakland,CA,"00 LAKESIDE DR
Oakland, CA"
ARSON,02/19/2020 06:00:00 AM,20-009699,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,13X,6000 MONROE AV,Oakland,CA,"6000 MONROE AV
Oakland, CA
(37.841337, -122.247796)"
MISDEMEANOR ASSAULT,02/18/2020 11:25:00 PM,20-009647,BATTERY,32X,900 107TH AV,Oakland,CA,"900 107TH AV
Oakland, CA
(37.734559, -122.173278)"
MISDEMEANOR ASSAULT,02/18/2020 08:06:00 PM,20-009617,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24Y,2600 38TH AV,Oakland,CA,"2600 38TH AV
Oakland, CA
(37.785389, -122.207445)"
BURG - AUTO,01/18/2020 07:00:00 AM,20-003287,BURGLARY-AUTO,04X,600 21ST ST,Oakland,CA,"600 21ST ST
Oakland, CA
(37.810664, -122.271397)"
BURG - AUTO,03/12/2020 12:56:00 PM,20-013994,POSSESS/ETC BURGLARY TOOLS,99X,2100 ADAMS AV,Oakland,CA,"2100 ADAMS AV
Oakland, CA"
THREATS,02/18/2020 10:30:00 PM,20-009643,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.7669, -122.175421)"
PETTY THEFT,01/22/2020 12:08:00 PM,20-004083,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,"10700 MACARTHUR BLVD
Oakland, CA
(37.741775, -122.150612)"
FELONY ASSAULT,03/07/2020 06:20:00 PM,20-013105,BATTERY W/SERIOUS BODILY INJURY,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
MISDEMEANOR ASSAULT,02/18/2020 11:25:00 PM,20-009647,THEFT,32X,900 107TH AV,Oakland,CA,"900 107TH AV
Oakland, CA
(37.734559, -122.173278)"
STOLEN VEHICLE,02/18/2020 09:30:00 PM,20-009703,VEHICLE THEFT - AUTO,24X,4100 FOOTHILL BLVD,Oakland,CA,"4100 FOOTHILL BLVD
Oakland, CA
(37.776377, -122.213699)"
OTHER SEX OFFENSES,02/18/2020 08:00:00 AM,20-009689,SEXUAL BATTERY,32Y,10900 BANCROFT AV,Oakland,CA,"10900 BANCROFT AV
Oakland, CA
(37.739685, -122.155514)"
RECOVERED O/S STOLEN,02/01/2020 05:20:00 PM,20-006236,VEHICLE THEFT - AUTO,29X,6400 OUTLOOK AV,Oakland,CA,"6400 OUTLOOK AV
Oakland, CA
(37.776143, -122.176878)"
BURG - AUTO,02/19/2020 02:40:00 AM,20-009669,BURGLARY-AUTO,27X,5200 FAIRFAX AV,Oakland,CA,"5200 FAIRFAX AV
Oakland, CA
(37.773356, -122.20078)"
MISDEMEANOR ASSAULT,04/30/2020 05:35:00 PM,20-021807,BATTERY,03X,00 10TH ST,Oakland,CA,"00 10TH ST
Oakland, CA"
TOWED VEHICLE,02/11/2020 11:52:00 AM,20-008211,FALSE REPORT OF VEHICLE THEFT WITH INTENT TO DECEIVE,30Y,2600 75TH AV,Oakland,CA,"2600 75TH AV
Oakland, CA
(37.765736, -122.174452)"
BURG - COMMERCIAL,02/14/2020 02:30:00 PM,20-009706,BURGLARY-FORCIBLE ENTRY,03X,400 14TH ST,Oakland,CA,"400 14TH ST
Oakland, CA
(37.803843, -122.269973)"
,05/24/2020 03:15:00 PM,20-025704,VEHICLE THEFT - AUTO,35X,8600 MACARTHUR BLVD,Oakland,CA,"8600 MACARTHUR BLVD
Oakland, CA
(37.75916, -122.162644)"
STOLEN VEHICLE,03/01/2020 09:00:00 PM,20-012134,VEHICLE THEFT - AUTO,21Y,2900 SCHOOL ST,Oakland,CA,"2900 SCHOOL ST
Oakland, CA
(37.795547, -122.214598)"
VANDALISM,02/24/2020 08:30:00 AM,20-010667,VANDALISM,13Y,1300 ALVARADO,Oakland,CA,"1300 ALVARADO
Oakland, CA"
FORGERY & COUNTERFEITING,08/20/2018 12:00:00 AM,19-009698,OBT CREDIT/ETC:OTHER'S ID,31Y,100 HEGENBERGER RD,Oakland,CA,"100 HEGENBERGER RD
Oakland, CA
(37.729705, -122.200068)"
RECOVERED O/S STOLEN,05/24/2018 09:00:00 AM,18-023863,VEHICLE THEFT - AUTO,29X,6500 FOOTHILL BLVD,Oakland,CA,"6500 FOOTHILL BLVD
Oakland, CA
(37.770574, -122.183123)"
GRAND THEFT,02/19/2020 10:00:00 AM,20-009724,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",20X,1000 CALCOT PL,Oakland,CA,"1000 CALCOT PL
Oakland, CA
(37.780108, -122.237806)"
GRAND THEFT,04/29/2020 03:00:00 PM,20-909923,THEFT,01X,300 OAK ST,Oakland,CA,"300 OAK ST
Oakland, CA
(37.793837, -122.267391)"
,05/22/2020 03:24:00 PM,20-910948,VANDALISM,03X,300 9TH ST,Oakland,CA,"300 9TH ST
Oakland, CA
(37.799419, -122.269606)"
BURG - AUTO,05/15/2020 07:50:00 AM,20-024192,RECEIVING/CONCEALING STOLEN PROPERTY NOT MORE THAN $950,19X,1200 11TH AV,Oakland,CA,"1200 11TH AV
Oakland, CA
(37.790782, -122.249633)"
DOMESTIC VIOLENCE,03/19/2020 10:26:00 AM,20-015227,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,NORTHGATE AV & SYCAMORE ST,Oakland,CA,"NORTHGATE AV & SYCAMORE ST
Oakland, CA
(37.815374, -122.270142)"
VANDALISM,03/25/2020 11:30:00 AM,20-907911,VANDALISM,77X,COLISEUM WAY,Oakland,CA,"COLISEUM WAY
Oakland, CA"
GRAND THEFT,04/24/2020 12:00:00 AM,20-020900,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,25X,3700 39TH AV,Oakland,CA,"3700 39TH AV
Oakland, CA
(37.790506, -122.195751)"
ROBBERY,02/14/2020 11:15:00 AM,20-008827,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27X,1400 44TH AV,Oakland,CA,"1400 44TH AV
Oakland, CA
(37.77228, -122.213733)"
KIDNAPPING,05/14/2020 04:00:00 PM,20-024121,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24X,3500 LYON AV,Oakland,CA,"3500 LYON AV
Oakland, CA
(37.787043, -122.211972)"
MISDEMEANOR ASSAULT,04/29/2020 05:00:00 PM,20-021654,BATTERY,13Y,6100 SWAINLAND RD,Oakland,CA,"6100 SWAINLAND RD
Oakland, CA
(37.842814, -122.218717)"
MISDEMEANOR ASSAULT,04/25/2020 09:07:00 AM,20-020895,BATTERY,02Y,1500 8TH ST,Oakland,CA,"1500 8TH ST
Oakland, CA
(37.806607, -122.295624)"
MISDEMEANOR ASSAULT,05/19/2020 10:00:00 AM,20-024824,THREAT CRIME:INT:TERRORIZE,34X,9500 INTERNATIONAL BLVD,Oakland,CA,"9500 INTERNATIONAL BLVD
Oakland, CA
(37.746458, -122.171986)"
FELONY ASSAULT,05/18/2020 09:45:00 PM,20-024749,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30Y,2700 79TH AV,Oakland,CA,"2700 79TH AV
Oakland, CA
(37.764182, -122.169549)"
ROBBERY,05/19/2020 06:40:00 PM,20-024924,ROBBERY-FIREARM,19X,1100 E 12TH ST,Oakland,CA,"1100 E 12TH ST
Oakland, CA
(37.790456, -122.249576)"
,05/30/2020 12:50:00 AM,20-026685,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,07X,3100 MAGNOLIA ST,Oakland,CA,"3100 MAGNOLIA ST
Oakland, CA
(37.823329, -122.282318)"
FELONY ASSAULT,05/19/2020 12:01:00 AM,20-024873,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,13X,00 SHERIDAN RD,Oakland,CA,"00 SHERIDAN RD
Oakland, CA"
,05/28/2020 10:30:00 AM,20-026571,VEHICLE THEFT - AUTO,05X,1500 BLOCK OF 20TH STREET,Oakland,CA,"1500 BLOCK OF 20TH STREET
Oakland, CA
(37.815423, -122.290663)"
STOLEN VEHICLE,05/19/2020 04:40:00 PM,20-024927,VEHICLE THEFT - AUTO,28X,3200 STORER AV,Oakland,CA,"3200 STORER AV
Oakland, CA
(37.784008, -122.195727)"
,05/30/2020 08:04:00 PM,20-026775,VANDALISM,04X,2100 SAN PABLO AV,Oakland,CA,"2100 SAN PABLO AV
Oakland, CA
(37.810893, -122.273317)"
,05/24/2020 10:00:00 AM,20-025676,THEFT,32X,1900 106TH AV,Oakland,CA,"1900 106TH AV
Oakland, CA
(37.740265, -122.161305)"
,05/24/2020 03:35:00 AM,20-025636,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1100 60TH AV,Oakland,CA,"1100 60TH AV
Oakland, CA
(37.76114, -122.203892)"
NARCOTICS,05/24/2020 01:39:00 AM,20-025629,POSSESS NARCOTIC CONTROLLED SUBSTANCE,04X,1700 BRUSH ST,Oakland,CA,"1700 BRUSH ST
Oakland, CA
(37.809178, -122.277099)"
MISCELLANEOUS TRAFFIC CRIME,05/08/2020 10:04:00 PM,20-023166,DUI ALCOHOL/DRUGS,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.766901, -122.175421)"
,05/24/2020 02:00:00 AM,20-025631,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31X,9700 WALTER AV,Oakland,CA,"9700 WALTER AV
Oakland, CA
(37.737468, -122.183216)"
VANDALISM,05/23/2020 12:00:00 PM,20-025532,VANDALISM,12Y,5200 COLLEGE AV,Oakland,CA,"5200 COLLEGE AV
Oakland, CA
(37.836333, -122.251253)"
BURG - AUTO,02/28/2020 11:30:00 AM,20-905989,BURGLARY-AUTO,77X,21ST ST,Oakland,CA,"21ST ST
Oakland, CA"
GRAND THEFT,05/04/2020 09:00:00 PM,20-022553,VEHICLE THEFT - AUTO,27Y,6200 BROMLEY AV,Oakland,CA,"6200 BROMLEY AV
Oakland, CA
(37.765983, -122.194383)"
DUI,03/13/2020 08:41:00 PM,20-014348,DUI ALCOHOL/DRUGS,03Y,JEFFERSON ST & 11TH ST,Oakland,CA,"JEFFERSON ST & 11TH ST
Oakland, CA
(37.803677, -122.276059)"
FORCIBLE RAPE,05/19/2020 12:38:00 AM,20-024769,ATTEMPTED RAPE,26Y,5400 SAN LEANDRO ST,Oakland,CA,"5400 SAN LEANDRO ST
Oakland, CA
(37.76431, -122.209613)"
BURG - AUTO,05/03/2020 07:15:00 AM,20-909776,BURGLARY-AUTO,77X,REDWOOD ROAD,Oakland,CA,"REDWOOD ROAD
Oakland, CA"
ROBBERY,05/05/2020 02:41:00 PM,20-022591,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
MISDEMEANOR ASSAULT,05/19/2020 10:00:00 AM,20-024824,BATTERY,34X,9500 INTERNATIONAL BLVD,Oakland,CA,"9500 INTERNATIONAL BLVD
Oakland, CA
(37.746458, -122.171986)"
,03/04/2020 04:00:00 PM,20-013288,VEHICLE THEFT - AUTO,34X,8600 PLYMOUTH ST,Oakland,CA,"8600 PLYMOUTH ST
Oakland, CA
(37.754433, -122.173446)"
MISDEMEANOR ASSAULT,05/11/2020 12:30:00 AM,20-023440,EXHIBIT FIREARM,10Y,45TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"45TH ST & MARTIN LUTHER KING JR WY
Oakland, CA
(37.83358, -122.267465)"
VANDALISM,04/15/2020 07:00:00 AM,20-019301,VANDALISM,27X,5000 FOOTHILL BLVD,Oakland,CA,"5000 FOOTHILL BLVD
Oakland, CA
(37.77264, -122.20575)"
STOLEN VEHICLE,04/19/2020 05:53:00 PM,20-019975,SC STOLEN VEHICLE - AUTO,16Y,1400 E 38TH ST,Oakland,CA,"1400 E 38TH ST
Oakland, CA
(37.803942, -122.227307)"
ROBBERY,03/15/2020 12:40:00 AM,20-014537,ROBBERY-FIREARM,27X,BELVEDERE ST & YGNACIO AV,Oakland,CA,"BELVEDERE ST & YGNACIO AV
Oakland, CA
(37.773495, -122.199672)"
GRAND THEFT,02/21/2020 10:00:00 PM,20-907303,THEFT,04X,00 GRAND AV,Oakland,CA,"00 GRAND AV
Oakland, CA"
,05/14/2020 12:00:00 PM,20-910326,VANDALISM,30X,7800 LOCKWOOD ST,Oakland,CA,"7800 LOCKWOOD ST
Oakland, CA
(37.760549, -122.178744)"
,05/22/2020 12:00:00 PM,20-026004,VEHICLE THEFT - AUTO,30X,1900 BLOCK OF 70TH AVENUE,Oakland,CA,"1900 BLOCK OF 70TH AVENUE
Oakland, CA
(37.763678, -122.184334)"
STOLEN VEHICLE,05/04/2020 08:30:00 PM,20-022574,VEHICLE THEFT - AUTO,20X,2500 INTERNATIONAL BLVD,Oakland,CA,"2500 INTERNATIONAL BLVD
Oakland, CA
(37.782068, -122.2337)"
ROBBERY,05/05/2020 02:41:00 PM,20-022591,FEL-ILL USE OF TEAR GAS/TEAR GAS WEAPON,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
,05/29/2020 09:57:00 PM,20-026617,BATTERY,31Y,600 98TH AVE.,Oakland,CA,"600 98TH AVE.
Oakland, CA
(37.736066, -122.183396)"
,05/30/2020 01:15:00 AM,20-026646,ATTEMPTED BURGLARY,19X,1100 E12TH ST,Oakland,CA,"1100 E12TH ST
Oakland, CA
(37.790456, -122.249576)"
MISDEMEANOR ASSAULT,04/03/2020 01:08:00 AM,20-017479,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781425, -122.215733)"
DUI,04/11/2020 11:19:00 PM,20-018797,DUI ALCOHOL/DRUGS,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
,05/28/2020 10:50:00 AM,20-026723,VEHICLE THEFT - AUTO,19X,IFO 1717 EMBARCADERO,Oakland,CA,"IFO 1717 EMBARCADERO
Oakland, CA"
